Comunidades y Ciudades Autónomas;Forma de conexión;Total
Total nacional;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;14.094.950
Total nacional;Conexión de banda ancha por ADSL;35
Total nacional;Conexión de banda ancha por red de cable o fibra óptica;57,2
Andalucía;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.407.607
Andalucía;Conexión de banda ancha por ADSL;35
Andalucía;Conexión de banda ancha por red de cable o fibra óptica;53
Aragón;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;415.608
Aragón;Conexión de banda ancha por ADSL;36,5
Aragón;Conexión de banda ancha por red de cable o fibra óptica;59,7
Asturias, Principado de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;332.338
Asturias, Principado de;Conexión de banda ancha por ADSL;35,9
Asturias, Principado de;Conexión de banda ancha por red de cable o fibra óptica;52,6
Balears, Illes;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;364.949
Balears, Illes;Conexión de banda ancha por ADSL;34
Balears, Illes;Conexión de banda ancha por red de cable o fibra óptica;62,6
Canarias;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;671.572
Canarias;Conexión de banda ancha por ADSL;36,8
Canarias;Conexión de banda ancha por red de cable o fibra óptica;52,7
Cantabria;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;173.870
Cantabria;Conexión de banda ancha por ADSL;40,6
Cantabria;Conexión de banda ancha por red de cable o fibra óptica;53,1
Castilla y León;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;692.834
Castilla y León;Conexión de banda ancha por ADSL;39,3
Castilla y León;Conexión de banda ancha por red de cable o fibra óptica;49,7
Castilla-La Mancha;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;558.207
Castilla-La Mancha;Conexión de banda ancha por ADSL;43,1
Castilla-La Mancha;Conexión de banda ancha por red de cable o fibra óptica;46,3
Cataluña;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.275.966
Cataluña;Conexión de banda ancha por ADSL;40,4
Cataluña;Conexión de banda ancha por red de cable o fibra óptica;57,2
Comunitat Valenciana;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;1.539.125
Comunitat Valenciana;Conexión de banda ancha por ADSL;31,8
Comunitat Valenciana;Conexión de banda ancha por red de cable o fibra óptica;53,1
Extremadura;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;292.642
Extremadura;Conexión de banda ancha por ADSL;48,8
Extremadura;Conexión de banda ancha por red de cable o fibra óptica;42,9
Galicia;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;784.302
Galicia;Conexión de banda ancha por ADSL;35,1
Galicia;Conexión de banda ancha por red de cable o fibra óptica;47,4
Madrid, Comunidad de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;2.125.979
Madrid, Comunidad de;Conexión de banda ancha por ADSL;26,2
Madrid, Comunidad de;Conexión de banda ancha por red de cable o fibra óptica;75,9
Murcia, Región de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;421.130
Murcia, Región de;Conexión de banda ancha por ADSL;25
Murcia, Región de;Conexión de banda ancha por red de cable o fibra óptica;52,5
Navarra, Comunidad Foral de;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;193.961
Navarra, Comunidad Foral de;Conexión de banda ancha por ADSL;44,4
Navarra, Comunidad Foral de;Conexión de banda ancha por red de cable o fibra óptica;53
País Vasco;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;707.364
País Vasco;Conexión de banda ancha por ADSL;33,9
País Vasco;Conexión de banda ancha por red de cable o fibra óptica;63,5
Rioja, La;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;93.296
Rioja, La;Conexión de banda ancha por ADSL;37
Rioja, La;Conexión de banda ancha por red de cable o fibra óptica;54,1
Ceuta;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;18.168
Ceuta;Conexión de banda ancha por ADSL;27,3
Ceuta;Conexión de banda ancha por red de cable o fibra óptica;70,4
Melilla;Total de viviendas que disponen de acceso a Internet y declaran las formas de conexión utilizadas;26.032
Melilla;Conexión de banda ancha por ADSL;21,9
Melilla;Conexión de banda ancha por red de cable o fibra óptica;72,5
