;SIN DIFICULTAD ;CON ALGUNA DIFICULTAD ;CON MUCHA DIFICULTAD ;NO PUEDE HACERLO 
Total;80,28;15,27;3,52;0,93
Andalucía;77,43;16,02;5,21;1,33
Aragón;75,51;19,91;3,22;1,36
Asturias, Principado de;80,25;14,69;4,08;0,99
Balears, Illes;89,27;9,48;1,09;0,15
Canarias;78,28;17,24;2,16;2,31
Cantabria;90,99;5,78;2,40;0,83
Castilla y León;75,97;20,65;2,51;0,87
Castilla-La Mancha;74,32;22,02;3,67;0,00
Cataluña;79,26;15,54;4,79;0,42
Comunitat Valenciana;84,53;11,89;2,49;1,09
Extremadura;78,78;15,63;3,93;1,67
Galicia;80,81;16,57;1,87;0,76
Madrid, Comunidad de;84,82;12,22;2,47;0,48
Murcia, Región de;71,79;21,65;5,45;1,12
Navarra, Comunidad Foral de;79,23;14,53;4,88;1,36
País Vasco;84,66;10,57;3,26;1,51
Rioja, La;80,41;18,08;1,16;0,35
Ceuta;85,35;11,26;3,40;0,00
Melilla;86,26;11,39;1,76;0,59
