,Declaran acceso_internet_2017,ADSL,cable_fibra óptica,otras conexiones,conexion móvil_dispositivo_mano,móvil_USB,index,Alguna Dificultad Conc,Mucha Dificultad Conc,Diabetes,Alguna Dificultad Ver,Mucha Dificultad Ver,Dolor espalda crónico cervical,Dolor espalda crónico lumbar,Infarto_miocardio,Restricc_AVD_Dolor,Sobrepeso,Migraña,Tension: alta
0,2331247,45.9,40.5,6.2,79.4,4.5,Andalucía,16.02,5.21,8.25,14.64,2.8,17.48,20.17,0.65,18.54,37.53,8.9,18.97
1,404247,43.8,50.4,5.1,74.5,14.1,Aragón,19.91,3.22,7.9,10.71,1.43,11.83,16.43,0.09,12.08,36.8,6.09,22.27
2,313007,36.0,54.1,4.5,71.6,7.4,"Asturias, Principado de",14.69,4.08,8.66,12.75,1.17,30.8,33.78,0.38,13.74,37.44,12.88,22.78
3,349297,42.6,52.2,14.3,81.4,14.4,"Balears, Illes",9.48,1.09,4.85,5.74,0.74,13.54,16.04,0.23,9.61,31.08,7.33,11.36
4,613034,46.0,43.2,4.8,82.2,4.8,Canarias,17.24,2.16,10.99,11.29,0.89,12.16,15.31,0.49,14.9,37.2,5.71,18.72
5,181320,43.7,48.4,4.6,71.7,10.4,Cantabria,5.78,2.4,5.95,10.39,1.44,8.15,14.49,0.89,4.89,36.24,4.33,22.91
6,672259,43.4,44.8,6.3,77.3,6.8,Castilla y León,20.65,2.51,7.42,12.66,1.2,15.91,16.01,0.95,14.22,39.16,10.47,20.08
7,557987,48.3,35.4,7.1,80.5,4.5,Castilla-La Mancha,22.02,3.67,7.53,14.64,2.09,9.14,16.56,0.83,19.11,34.74,14.58,22.69
8,2150128,44.0,51.5,15.3,75.0,9.6,Cataluña,15.54,4.79,7.01,10.78,1.17,17.07,20.97,0.59,14.03,36.66,7.28,19.28
9,1444512,40.0,46.9,6.6,71.7,7.5,Ceuta,11.26,3.4,7.91,1.01,0.17,9.94,12.69,1.81,23.28,41.41,12.5,23.45
10,289925,51.2,28.6,5.2,81.2,6.1,Comunitat Valenciana,11.89,2.49,8.02,9.62,1.8,10.18,15.14,0.91,13.8,36.16,5.2,19.81
11,747846,45.6,41.6,6.0,75.0,7.4,Extremadura,15.63,3.93,9.19,8.7,2.13,12.97,16.88,0.29,6.57,38.12,6.09,20.53
12,2051858,32.6,68.9,3.3,73.2,7.6,Galicia,16.57,1.87,9.12,10.55,0.78,19.5,27.63,1.08,5.68,41.4,14.37,24.24
13,411368,33.9,43.0,7.9,82.4,7.1,"Madrid, Comunidad de",12.22,2.47,7.39,12.25,2.05,11.4,14.85,0.72,17.58,35.15,8.06,18.73
14,195426,49.7,43.7,17.9,70.8,20.3,Melilla,11.39,1.76,8.97,11.13,1.65,6.7,8.08,0.09,15.47,40.54,4.41,13.91
15,692850,34.8,56.9,4.1,75.2,7.6,"Murcia, Región de",21.65,5.45,7.28,12.14,1.52,9.94,11.04,0.8,7.98,44.98,7.68,19.82
16,88833,42.4,46.0,5.9,75.4,6.1,"Navarra, Comunidad Foral de",14.53,4.88,7.52,10.92,1.65,13.86,17.64,0.77,14.35,35.56,9.71,20.94
17,18649,41.1,55.4,3.1,82.5,6.2,País Vasco,10.57,3.26,6.86,7.85,2.26,14.85,20.65,0.72,16.36,35.91,9.85,20.82
18,22202,30.4,65.3,7.1,64.9,5.5,"Rioja, La",18.08,1.16,5.41,8.09,1.26,10.93,18.76,0.14,10.84,37.51,10.45,17.18
19,13535995,41.7,49.3,7.4,76.1,7.6,Total nacional,15.27,3.52,7.8,11.57,1.75,14.57,18.5,0.69,14.56,37.07,8.52,19.81
