,Declaran acceso_internet_2017,ADSL,cable_fibra optica,otras conexiones,conexion movil_dispositivo_mano,movil_USB,index,Buena Salud,Salud Regular
0,2331247,45.9,40.5,6.2,79.4,4.5,Andalucía,16.7,16.7
1,404247,43.8,50.4,5.1,74.5,14.1,Aragón,18.7,18.7
2,313007,36.0,54.1,4.5,71.6,7.4,"Asturias, Principado de",19.5,19.5
3,349297,42.6,52.2,14.3,81.4,14.4,"Balears, Illes",17.4,17.4
4,613034,46.0,43.2,4.8,82.2,4.8,Canarias,25.2,25.2
5,181320,43.7,48.4,4.6,71.7,10.4,Cantabria,11.8,11.8
6,672259,43.4,44.8,6.3,77.3,6.8,Castilla y León,20.7,20.7
7,557987,48.3,35.4,7.1,80.5,4.5,Castilla-La Mancha,21.7,21.7
8,2150128,44.0,51.5,15.3,75.0,9.6,Cataluña,17.8,17.8
9,18649,41.1,55.4,3.1,82.5,6.2,Ceuta,15.5,15.5
10,1444512,40.0,46.9,6.6,71.7,7.5,Comunitat Valenciana,21.6,21.6
11,289925,51.2,28.6,5.2,81.2,6.1,Extremadura,19.6,19.6
12,747846,45.6,41.6,6.0,75.0,7.4,Galicia,28.6,28.6
13,2051858,32.6,68.9,3.3,73.2,7.6,"Madrid, Comunidad de",15.3,15.3
14,22202,30.4,65.3,7.1,64.9,5.5,Melilla,8.7,8.7
15,411368,33.9,43.0,7.9,82.4,7.1,"Murcia, Región de",23.5,23.5
16,195426,49.7,43.7,17.9,70.8,20.3,"Navarra, Comunidad Foral de",15.7,15.7
17,692850,34.8,56.9,4.1,75.2,7.6,País Vasco,18.8,18.8
18,88833,42.4,46.0,5.9,75.4,6.1,"Rioja, La",17.0,17
19,13535995,41.7,49.3,7.4,76.1,7.6,Total nacional,19.2,19.2
