;Total población;25-59 años;% 25-59 años
Total;46722980;23634577;50,58
Andalucía;8384408;4281360;51,06
Aragón;1308728;641231;49,00
Asturias, Principado de;1028244;502350;48,86
Balears, Illes;1128908;608099;53,87
Canarias;2127685;1163748;54,70
Cantabria;580229;289553;49,90
Castilla y León;2409164;1151030;47,78
Castilla-La Mancha;2026807;1017955;50,22
Cataluña;7600065;3831836;50,42
Comunitat Valenciana;4963703;2501814;50,40
Extremadura;1072863;533005;49,68
Galicia;2701743;1314137;48,64
Madrid, Comunidad de;6578079;3409683;51,83
Murcia, Región de;1478509;755942;51,13
Navarra, Comunidad Foral de;647554;317109;48,97
País Vasco;2199088;1075752;48,92
Rioja, La;315675;155612;49,30
Ceuta;85144;42545;49,97
Melilla;86384;41816;48,41
