;CON ALGUNA DIFICULTAD ;CON MUCHA DIFICULTAD 
TOTAL;11,57;1,75
ANDALUCÍA;14,64;2,80
ARAGÓN;10,71;1,43
ASTURIAS, PRINCIPADO DE;12,75;1,17
BALEARS, ILLES;5,74;0,74
CANARIAS;11,29;0,89
CANTABRIA;10,39;1,44
CASTILLA Y LEÓN;12,66;1,20
CASTILLA-LA MANCHA;14,64;2,09
CATALUÑA;10,78;1,17
COMUNITAT VALENCIANA;9,62;1,80
EXTREMADURA;8,70;2,13
GALICIA;10,55;0,78
MADRID, COMUNIDAD DE;12,25;2,05
MURCIA, REGIÓN DE;12,14;1,52
NAVARRA, COMUNIDAD FORAL DE;10,92;1,65
PAÍS VASCO;7,85;2,26
RIOJA, LA;8,09;1,26
CEUTA;1,01;0,17
MELILLA;11,13;1,65
