;2017MB;2017B;2017R;2017M;2017MM
Total;19,1;55,1;19,2;5,1;1,4
Andalucía;22,6;54,2;16,7;4,9;1,7
Aragón;14,2;62,1;18,7;3,7;1,3
Asturias, Principado de;10,1;60,9;19,5;8,3;1,2
Balears, Illes;16,2;63;17,4;2,8;0,6
Canarias;15,5;52,3;25,2;4,7;2,4
Cantabria;40,2;40,7;11,8;5,8;1,5
Castilla y León;14,3;57,8;20,7;6,3;0,9
Castilla-La Mancha;16,7;53,5;21,7;5,5;2,7
Cataluña;21,1;55,9;17,8;4,2;1
Comunitat Valenciana;20,2;50,4;21,6;6,1;1,8
Extremadura;30,8;43,8;19,6;4,5;1,3
Galicia;10,2;51,5;28,6;7,7;2
Madrid, Comunidad de;17,7;61,8;15,3;4,1;1
Murcia, Región de;18,2;50,6;23,5;6,2;1,5
Navarra, Comunidad Foral de;18,2;62,2;15,7;3,4;0,5
País Vasco;21,6;52,4;18,8;6,1;1,1
Rioja, La;14,6;62,9;17;4,4;1
Ceuta;26,4;53,1;15,5;3,6;1,4
Melilla;41,2;42,2;8,7;4,4;3,4
