,Model,Parameter,Recall,Score,MAE,Accuracy
0,LinearRegression,n_job,None,LinearRegression,LinearRegression,LinearRegression
1,PolynomialFeatures,degree,None,PolynomialFeatures,PolynomialFeatures,PolynomialFeatures
2,SVR,Kernel_C_gamma_epsilon,None,SVR,SVR,SVR
3,LogisticRegression,max_iter,LogisticRegression,LogisticRegression,LogisticRegression,LogisticRegression
4,KNeighborsClassifier,n_neighbors,KNeighborsClassifier,KNeighborsClassifier,KNeighborsClassifier,KNeighborsClassifier
5,SVC,Kernel_C_gamma,SVC,SVC,SVC,SVC
6,DecisionTreeRegressor,max_depth,DecisionTreeRegressor,DecisionTreeRegressor,DecisionTreeRegressor,DecisionTreeRegressor
7,RandomForestRegressor,n_estimators_max_depth,RandomForestRegressor,RandomForestRegressor,RandomForestRegressor,RandomForestRegressor
8,DecisionTreeClassifier,None,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier
9,RandomForestClassifier,n_splits_n_repeats,DecisionTreeClassifier,DecisionTreeClassifier,DecisionTreeClassifier,DecisionTreeClassifier
10,Red neuronal,Dense_(activation_input_shape),Red neuronal,Red neuronal,Red neuronal,Red neuronal
